GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000170802	2	48541776	48606433	278	28	412572	1.917	0.02762	FOXN2
ENSG00000162869	2	48667737	48742525	340	39	409211	1.0636	0.14376	PPP1R21
ENSG00000243244	2	48756522	48826025	353	35	401898	-0.4237	0.66411	STON1
ENSG00000068781	2	48757064	49003654	1286	79	395690	-0.69482	0.75642	STON1-GTF2A1L
ENSG00000242441	2	48844937	48960287	588	57	410173	-0.12325	0.54905	GTF2A1L
ENSG00000138039	2	48859428	48982880	633	61	410933	-0.37284	0.64537	LHCGR
ENSG00000170820	2	49189296	49381676	1087	51	403339	0.75112	0.22629	FSHR
ENSG00000179915	2	50145643	51259674	4665	189	414453	-0.40982	0.65903	NRXN1
ENSG00000115239	2	53759810	54087170	1442	90	399488	-0.28003	0.61027	GPR75-ASB3
ENSG00000270898	2	53897430	54087297	734	41	417688	0.28012	0.38969	ASB3
ENSG00000143942	2	53994929	54002333	28	11	409631	1.3121	0.094738	CHAC2
ENSG00000068912	2	54014181	54045956	100	23	421968	0.59727	0.27516	ERLEC1
ENSG00000119737	2	54080050	54087126	22	9	366297	0.79956	0.21198	GPR75
ENSG00000068878	2	54091204	54197977	400	31	409753	-0.49275	0.68891	PSME4
ENSG00000170634	2	54197975	54532437	1359	63	404238	-0.5657	0.7142	ACYP2
ENSG00000178021	2	54480315	54483409	16	7	432427	-0.57721	0.7181	TSPYL6
ENSG00000177994	2	54557171	54610879	179	34	418063	0.41656	0.3385	C2orf73
ENSG00000115306	2	54683422	54896812	997	51	406747	-0.7291	0.76703	SPTBN1
ENSG00000214595	2	54950636	55199157	1363	101	405519	0.64929	0.25808	EML6
ENSG00000115310	2	55199325	55339757	621	50	411634	0.38375	0.35058	RTN4
ENSG00000162994	2	55401927	55459699	252	32	407740	0.38908	0.34861	CLHC1
ENSG00000143947	2	55459039	55462989	21	11	407674	-0.89728	0.81522	RPS27A
ENSG00000085760	2	55463731	55496483	146	30	400221	-1.5978	0.94495	MTIF2
ENSG00000115355	2	55514978	55647057	669	31	396615	1.425	0.07708	CCDC88A
ENSG00000163001	2	55746740	55773015	114	30	403646	0.73124	0.23232	CCDC104
ENSG00000138041	2	55774428	55846015	308	32	410206	0.62954	0.2645	SMEK2
ENSG00000138035	2	55861400	55921045	291	32	395778	0.58299	0.27995	PNPT1
ENSG00000115380	2	56093102	56151274	259	35	402937	1.3557	0.087598	EFEMP1
ENSG00000055813	2	56411258	56613308	843	75	415158	1.5132	0.06511	CCDC85A
ENSG00000028116	2	58134786	58387055	866	51	403957	-0.4472	0.67264	VRK2
ENSG00000115392	2	58386378	58468507	302	36	398882	-0.34719	0.63578	FANCL
ENSG00000119866	2	60678302	60780702	225	55	389678	1.7596	0.039242	BCL11A
ENSG00000115421	2	60983365	61029220	134	23	419749	0.66326	0.25358	PAPOLG
ENSG00000162924	2	61108656	61158745	99	29	416935	-0.65233	0.74291	REL
ENSG00000162927	2	61167357	61245394	203	48	397558	-0.85956	0.80498	PUS10
ENSG00000162928	2	61244360	61279125	94	29	401858	0.096528	0.46155	PEX13
ENSG00000162929	2	61293006	61391960	315	35	400282	-0.092685	0.53692	KIAA1841
ENSG00000237651	2	61372243	61391964	96	10	419933	-0.45514	0.6755	C2orf74
ENSG00000173209	2	61404553	61418338	46	20	404877	-0.47737	0.68345	AHSA2
ENSG00000115464	2	61414598	61697904	975	50	394080	-1.0326	0.84911	USP34
ENSG00000082898	2	61704984	61765761	190	30	374094	-0.92151	0.82161	XPO1
ENSG00000170264	2	62051989	62081278	98	18	405401	1.3859	0.082888	FAM161A
ENSG00000115484	2	62095224	62115939	85	18	413983	1.0745	0.1413	CCT4
ENSG00000173163	2	62115859	62374382	709	46	404830	1.425	0.077079	COMMD1
ENSG00000170340	2	62423248	62451866	77	22	350744	-0.079821	0.53181	B3GNT2
ENSG00000186889	2	62727356	62739029	63	15	406685	0.62881	0.26474	TMEM17
ENSG00000115504	2	62900986	63273622	754	67	392238	1.6397	0.050532	EHBP1
ENSG00000115507	2	63277192	63284971	16	9	400579	1.72	0.042717	OTX1
ENSG00000143951	2	63348518	64054977	2219	57	394555	-0.15063	0.55987	WDPCP
ENSG00000014641	2	63815743	63834331	51	11	409422	-0.099271	0.53954	MDH1
ENSG00000169764	2	64068074	64118696	173	37	398403	0.84807	0.1982	UGP2
ENSG00000143952	2	64119280	64246206	566	47	403081	-0.2498	0.59863	VPS54
ENSG00000197329	2	64319786	64371588	172	27	392077	-0.8925	0.81394	PELI1
ENSG00000119862	2	64681103	64688515	22	12	370062	0.10792	0.45703	LGALSL
ENSG00000119844	2	64751465	64820139	241	26	384255	-0.68459	0.7532	AFTPH
ENSG00000179833	2	64858755	64978139	304	32	394183	-0.56088	0.71256	SERTAD2
ENSG00000115902	2	65215611	65250999	124	34	378906	1.176	0.11979	SLC1A4
ENSG00000011523	2	65283500	65314138	125	24	409619	-0.18909	0.57499	CEP68
ENSG00000138069	2	65297835	65357240	241	31	404585	0.01239	0.49506	RAB1A
ENSG00000138071	2	65454887	65498387	139	20	413437	0.18535	0.42648	ACTR2
ENSG00000198369	2	65537985	65659771	456	36	400953	2.1455	0.015958	SPRED2
ENSG00000143995	2	66660584	66801001	374	54	387223	-0.31099	0.6221	MEIS1
ENSG00000143971	2	67624451	67637677	50	11	428344	-0.26815	0.60571	ETAA1
ENSG00000197223	2	68268262	68338080	132	35	351701	-1.028	0.84802	C1D
ENSG00000243667	2	68350068	68384692	121	24	402356	0.342	0.36618	WDR92
ENSG00000273398	2	68358370	68488362	427	33	387915	-0.11091	0.54416	RP11-474G23.1
ENSG00000115946	2	68384976	68403370	72	16	409947	-0.66181	0.74595	PNO1
ENSG00000221823	2	68405989	68483369	248	26	375986	-0.045755	0.51825	PPP3R1
ENSG00000119865	2	68511303	68547183	125	33	350625	-0.612	0.72973	CNRIP1
ENSG00000115956	2	68592305	68624585	205	21	422402	-0.19151	0.57594	PLEK
ENSG00000204923	2	68686551	68694390	14	5	370765	-1.8059	0.96453	FBXO48
ENSG00000169621	2	68694693	68858004	564	19	395398	-0.59056	0.72259	APLF
ENSG00000169618	2	68870721	68882708	45	16	373005	0.48131	0.31515	PROKR1
ENSG00000163219	2	68906733	69053965	706	65	411063	1.9008	0.028662	ARHGAP25
ENSG00000163217	2	69092613	69098649	14	5	437358	0.29894	0.38249	BMP10
ENSG00000183607	2	69172364	69180102	35	12	375354	0.012941	0.49484	GKN2
ENSG00000169605	2	69201705	69208106	43	10	412303	1.6077	0.05395	GKN1
ENSG00000169604	2	69240310	69476459	920	99	403421	1.8443	0.03257	ANTXR1
ENSG00000198380	2	69546905	69614382	184	17	403316	0.52391	0.30017	GFPT1
ENSG00000169599	2	69622882	69664760	143	15	385834	0.84452	0.19919	NFU1
ENSG00000115977	2	69688532	69901481	666	39	391340	0.32695	0.37185	AAK1
ENSG00000196975	2	69871557	70053596	635	47	386567	0.099433	0.4604	ANXA4
ENSG00000087338	2	70056774	70108528	102	13	405509	-0.73917	0.7701	GMCL1
ENSG00000124380	2	70120692	70132707	23	5	383397	-0.065073	0.52594	SNRNP27
ENSG00000059728	2	70124820	70170077	115	13	398627	-0.24572	0.59705	MXD1
ENSG00000244617	2	70187226	70189397	9	5	407025	-0.088789	0.53538	ASPRV1
ENSG00000169564	2	70314585	70316332	3	2	418812	0.61739	0.26849	PCBP1
ENSG00000115998	2	70377012	70475747	262	21	387013	0.31628	0.3759	C2orf42
ENSG00000116001	2	70436576	70475792	104	13	404653	0.71381	0.23767	TIA1
ENSG00000116005	2	70484518	70508323	61	8	403635	0.67358	0.25029	PCYOX1
ENSG00000143977	2	70508494	70520903	25	4	410252	0.59344	0.27644	SNRPG
ENSG00000035141	2	70523107	70529222	20	5	430062	0.71822	0.23631	FAM136A
ENSG00000163235	2	70674412	70781325	417	50	355510	0.82038	0.206	TGFA
ENSG00000075340	2	70834750	70995357	786	44	381205	0.38176	0.35132	ADD2
ENSG00000183733	2	71004442	71017775	68	10	410351	-1.3708	0.91479	FIGLA
ENSG00000152672	2	71035775	71047732	45	14	428764	-1.4876	0.93157	CLEC4F
ENSG00000116031	2	71057347	71062952	33	9	428380	0.57152	0.28382	CD207
ENSG00000116035	2	71127720	71160576	124	27	417199	-2.1858	0.98559	VAX2
ENSG00000116039	2	71163012	71192536	133	33	401725	-1.7446	0.95947	ATP6V1B1
ENSG00000258881	2	71166448	71222466	215	51	389669	-1.3734	0.91519	AC007040.11
ENSG00000144031	2	71205510	71212626	26	8	410936	0.00046251	0.49982	ANKRD53
ENSG00000144043	2	71213068	71222075	35	8	410773	-0.51409	0.6964	TEX261
ENSG00000124357	2	71291474	71306935	75	15	428621	-0.032592	0.513	NAGK
ENSG00000124370	2	71336814	71357369	95	13	422403	0.20752	0.4178	MCEE
ENSG00000124383	2	71357444	71377231	121	14	408710	0.43184	0.33293	MPHOSPH10
ENSG00000124374	2	71409869	71454213	216	30	395032	2.2065	0.013674	PAIP2B
ENSG00000075292	2	71503691	71662199	640	36	404202	3.4232	0.00030943	ZNF638
ENSG00000135636	2	71680852	71913898	1078	121	388167	1.2581	0.10417	DYSF
ENSG00000003137	2	72356367	72375167	41	12	317208	-0.11869	0.54724	CYP26B1
ENSG00000144036	2	72403113	73053170	1262	36	384954	-0.65404	0.74346	EXOC6B
ENSG00000116096	2	73114489	73119287	3	2	434715	-1.2748	0.8988	SPR
ENSG00000135638	2	73143389	73162020	27	10	351037	-0.15436	0.56134	EMX1
ENSG00000144040	2	73169165	73302747	353	30	384349	0.11487	0.45428	SFXN5
ENSG00000135631	2	73300510	73383849	316	33	385663	-0.012087	0.50482	RAB11FIP5
ENSG00000214513	2	73429386	73439641	53	9	279089	0.30779	0.37912	NOTO
ENSG00000135632	2	73441350	73454365	36	13	425864	-0.48639	0.68666	SMYD5
ENSG00000135617	2	73455134	73460366	14	4	446252	-1.4778	0.93027	PRADC1
ENSG00000135624	2	73460548	73480149	62	14	427731	-1.1493	0.87479	CCT7
ENSG00000163013	2	73481810	73511559	69	24	314757	-0.50628	0.69367	FBXO41
ENSG00000135625	2	73518058	73520833	4	2	422427	-1.7866	0.963	EGR4
ENSG00000116127	2	73612886	73837920	707	32	384460	-0.40212	0.6562	ALMS1
ENSG00000144035	2	73867959	73869520	9	6	407405	-0.46823	0.68019	NAT8
ENSG00000144034	2	73956231	73964527	12	2	350544	0.014067	0.49439	TPRKB
ENSG00000144048	2	73989311	74007284	22	8	408654	-0.53973	0.70531	DUSP11
ENSG00000187833	2	74011316	74044274	16	6	304689	-0.50066	0.69169	C2orf78
ENSG00000124356	2	74056086	74100786	155	28	394990	0.10786	0.45705	STAMBP
ENSG00000163017	2	74119441	74146992	135	15	347746	-0.64792	0.74148	ACTG2
ENSG00000114956	2	74153953	74186088	108	14	389614	-0.099254	0.53953	DGUOK
ENSG00000187605	2	74229840	74335303	257	17	380072	-0.92884	0.82351	TET3
ENSG00000217702	2	74361599	74362521	6	3	292715	-0.80737	0.79027	MGC10955
ENSG00000163170	2	74362525	74375121	41	8	351944	0.28976	0.386	BOLA3
ENSG00000114978	2	74379655	74406025	70	8	380889	0.721	0.23545	MOB1A
ENSG00000065911	2	74425689	74444692	56	15	377482	-0.29349	0.61543	MTHFD2
ENSG00000264324	2	74438731	74590504	404	52	378224	0.0012526	0.4995	RP11-287D1.3
ENSG00000188687	2	74443369	74570541	334	49	374321	0.0026182	0.49896	SLC4A5
ENSG00000204843	2	74588281	74619214	74	22	399961	0.47622	0.31696	DCTN1
ENSG00000159239	2	74641304	74648718	19	8	409791	1.1623	0.12256	C2orf81
ENSG00000005448	2	74648805	74652882	8	5	312277	2.0439	0.020482	WDR54
ENSG00000114993	2	74652963	74669549	45	17	392844	0.093922	0.46259	RTKN
ENSG00000115274	2	74682150	74688011	9	4	422729	0.51782	0.30229	INO80B
ENSG00000239779	2	74685456	74688018	4	2	429816	0.87614	0.19048	WBP1
ENSG00000115275	2	74688184	74692537	13	8	315294	1.209	0.11333	MOGS
ENSG00000204822	2	74699085	74700449	5	3	419876	0.63278	0.26344	MRPL53
ENSG00000135637	2	74699113	74710535	33	16	363364	0.13468	0.44643	CCDC142
ENSG00000115282	2	74710200	74722013	28	13	350927	-1.031	0.84873	TTC31
ENSG00000179528	2	74724644	74730443	18	8	417306	0.19186	0.42393	LBX2
ENSG00000115289	2	74732170	74735707	7	4	427684	0.81897	0.2064	PCGF1
ENSG00000115297	2	74740590	74744274	3	2	410470	1.5912	0.055786	TLX2
ENSG00000144045	2	74745258	74753463	15	10	311781	-0.0068483	0.50273	DQX1
ENSG00000115307	2	74753772	74757066	4	2	440144	1.1779	0.11942	AUP1
ENSG00000115317	2	74756504	74760472	7	4	409890	-0.36729	0.6433	HTRA2
ENSG00000115318	2	74759541	74782817	46	12	385828	1.0747	0.14125	LOXL3
ENSG00000115325	2	74776153	74784681	19	7	391065	1.1938	0.11628	DOK1
ENSG00000159374	2	74785010	74875465	188	28	376564	0.046592	0.48142	M1AP
ENSG00000135622	2	74881355	74909186	75	19	395065	-0.60922	0.72881	SEMA4F
ENSG00000159399	2	75061108	75120486	232	42	376370	-0.091853	0.53659	HK2
ENSG00000115350	2	75185619	75197255	38	12	402617	0.3786	0.35249	POLE4
ENSG00000115353	2	75273590	75426826	517	63	384339	-0.62155	0.73288	TACR1
ENSG00000115363	2	75696428	75796848	396	53	380837	-0.14514	0.5577	EVA1A
ENSG00000115364	2	75873909	75917977	195	32	408672	1.1279	0.12967	MRPL19
ENSG00000005436	2	75879126	75938115	241	34	402188	1.1965	0.11575	GCFC2
ENSG00000176204	2	76974845	77820445	4406	147	381990	0.32679	0.37191	LRRTM4
ENSG00000143954	2	79252812	79255631	24	8	384971	0.6924	0.24434	REG3G
ENSG00000172023	2	79312156	79315145	16	5	424988	-0.71244	0.7619	REG1B
ENSG00000115386	2	79347488	79350545	17	8	410618	-1.119	0.86843	REG1A
ENSG00000172016	2	79384132	79386879	5	3	366166	0.093611	0.46271	REG3A
ENSG00000066032	2	79412357	80875905	6348	357	398850	0.49096	0.31173	CTNNA2
ENSG00000162951	2	80515483	80531874	40	14	386784	-0.046175	0.51841	LRRTM1
ENSG00000163541	2	84650647	84687169	133	19	402964	-1.0191	0.84592	SUCLG1
ENSG00000115423	2	84743579	85046713	1016	29	415944	-1.1127	0.86708	DNAH6
ENSG00000186854	2	85048774	85134132	336	26	377678	0.19459	0.42286	TRABD2A
ENSG00000269417	2	85122209	85122345	2	1	458593	0.96575	0.16709	AC022210.1
ENSG00000034510	2	85132749	85133795	3	1	295134	0.96807	0.16651	TMSB10
ENSG00000176407	2	85198216	85286595	179	21	359214	-0.14272	0.55674	KCMF1
ENSG00000152284	2	85360533	85537511	722	70	391854	0.10563	0.45794	TCF7L1
ENSG00000152291	2	85545147	85555548	45	7	445682	2.0093	0.022253	TGOLN2
ENSG00000042445	2	85569211	85581743	46	15	324608	0.40864	0.3414	RETSAT
ENSG00000115459	2	85581517	85618875	114	23	396028	1.3548	0.087749	ELMOD3
ENSG00000042493	2	85621871	85645555	118	23	433086	1.6359	0.050934	CAPG
ENSG00000152292	2	85645844	85664152	68	17	375361	0.50276	0.30757	SH2D6
ENSG00000168906	2	85766288	85772403	11	5	439289	-1.3293	0.90813	MAT2A
ENSG00000115486	2	85771846	85788670	57	15	426482	-0.62823	0.73507	GGCX
ENSG00000118640	2	85788685	85809154	81	13	424189	0.59219	0.27686	VAMP8
ENSG00000168899	2	85811531	85820535	26	8	419928	0.45689	0.32387	VAMP5
ENSG00000168894	2	85822848	85824736	9	3	396253	0.20355	0.41935	RNF181
ENSG00000168890	2	85825671	85830319	5	2	445311	-0.72949	0.76715	TMEM150A
ENSG00000168883	2	85829979	85876403	119	33	373125	-0.29953	0.61773	USP39
ENSG00000168887	2	85833777	85839189	9	6	251371	1.3786	0.084007	C2orf68
ENSG00000168878	2	85884437	85895864	21	9	399525	-0.84053	0.7997	SFTPB
ENSG00000115523	2	85912298	85925977	75	13	421715	-0.79091	0.7855	GNLY
ENSG00000168874	2	85978467	86015189	94	19	353151	-0.46864	0.68034	ATOH8
ENSG00000115525	2	86066267	86116137	172	20	434408	-0.14823	0.55892	ST3GAL5
ENSG00000068654	2	86247339	86333278	346	32	400888	0.40836	0.34151	POLR1A
ENSG00000132300	2	86333305	86369280	152	24	409637	-0.17436	0.56921	PTCD3
ENSG00000132305	2	86371055	86422893	217	18	397862	2.2319	0.01281	IMMT
ENSG00000132313	2	86426478	86440917	50	10	393516	2.2473	0.012309	MRPL35
ENSG00000068615	2	86441116	86565206	517	26	417275	1.3863	0.082822	REEP1
ENSG00000115548	2	86667770	86719839	155	28	406483	1.1547	0.1241	KDM3A
ENSG00000115561	2	86730554	86948245	580	40	380651	2.059	0.019746	CHMP3
ENSG00000249884	2	86732791	86948245	575	40	379979	2.0453	0.020412	RNF103-CHMP3
ENSG00000239305	2	86830516	86850989	70	16	377887	1.1832	0.11836	RNF103
ENSG00000153561	2	86947296	87005164	113	15	300669	1.7616	0.039071	RMND5A
ENSG00000153563	2	87011729	87035519	86	10	424110	0.060508	0.47588	CD8A
ENSG00000172116	2	87042462	87089047	160	23	320551	1.5038	0.066319	CD8B
ENSG00000229615	2	87089023	87092827	6	2	299932	0.31337	0.377	AC111200.1
ENSG00000187627	2	87135076	87241104	68	15	30948	-1.7315	0.95832	RGPD1
ENSG00000183281	2	87229682	87248975	13	5	17390	-1.4019	0.91953	PLGLB1
ENSG00000125551	2	88047606	88058312	1	1	17477	-0.18529	0.5735	PLGLB2
ENSG00000185304	2	88055474	88285309	146	39	52096	0.27297	0.39244	RGPD2
ENSG00000172086	2	88326724	88355248	73	13	390293	1.3744	0.084653	KRCC1
ENSG00000115593	2	88367299	88412906	219	39	395762	-1.2439	0.89322	SMYD1
ENSG00000163586	2	88422510	88427635	14	7	372038	-0.48257	0.6853	FABP1
ENSG00000144115	2	88469835	88486146	52	16	401872	-0.52814	0.7013	THNSL2
ENSG00000172073	2	88824169	88829102	22	9	408217	-0.98553	0.83782	TEX37
ENSG00000172071	2	88856259	88927094	99	21	412484	-0.70592	0.75988	EIF2AK3
ENSG00000153574	2	88991162	89050452	152	12	425652	0.87301	0.19133	RPIA
ENSG00000163060	2	95537178	95542574	20	8	359489	-0.53176	0.70255	TEKT4
ENSG00000172005	2	95691422	95719737	35	14	402308	-0.47858	0.68388	MAL
ENSG00000144029	2	95752952	95815179	74	26	329703	0.51416	0.30357	MRPS5
ENSG00000144026	2	95813075	95831158	22	12	371558	0.74125	0.22927	ZNF514
ENSG00000163067	2	95831177	95850065	30	12	377390	0.27384	0.3921	ZNF2
ENSG00000155066	2	95940201	95957056	31	14	390152	-0.29669	0.61665	PROM2
ENSG00000115041	2	95963052	96051825	152	24	393069	0.8641	0.19377	KCNIP3
ENSG00000115042	2	96068469	96082364	16	9	252103	-0.69803	0.75742	FAHD2A
ENSG00000144015	2	96257766	96265526	7	4	202278	-1.122	0.86907	TRIM43
ENSG00000174501	2	96514587	96657541	280	29	192357	-0.76269	0.77718	ANKRD36C
ENSG00000186281	2	96687694	96705199	15	7	219175	0.16134	0.43591	GPAT2
ENSG00000222040	2	96778707	96781984	9	4	392648	-1.7613	0.96091	ADRA2B
ENSG00000188886	2	96789589	96804175	35	13	411721	-0.87064	0.80802	ASTL
ENSG00000158050	2	96808905	96811179	4	2	329912	0.77532	0.21908	DUSP2
ENSG00000084090	2	96850597	96874563	74	17	234655	-0.2723	0.60731	STARD7
ENSG00000135956	2	96914254	96931732	33	17	390631	-0.038777	0.51547	TMEM127
ENSG00000144021	2	96931870	96939087	11	6	353598	-0.32168	0.62615	CIAO1
ENSG00000144028	2	96940074	96971297	62	21	392104	-0.56914	0.71537	SNRNP200
ENSG00000198885	2	96991069	96994091	11	6	380678	-0.88727	0.81253	ITPRIPL1
ENSG00000121152	2	97001525	97039583	74	22	385593	-0.46825	0.6802	NCAPH
ENSG00000196843	2	97202480	97218375	35	15	375378	-1.8803	0.96997	ARID5A
ENSG00000114982	2	97258907	97308524	83	31	409855	-1.9601	0.97501	KANSL3
ENSG00000114988	2	97371666	97405801	48	9	416017	-0.96274	0.83216	LMAN2L
ENSG00000158158	2	97426639	97477628	95	15	390924	-1.119	0.86842	CNNM4
ENSG00000168763	2	97481982	97499648	46	11	356870	-1.2953	0.90238	CNNM3
ENSG00000163126	2	97490263	97523671	73	13	383186	-1.431	0.92378	ANKRD23
ENSG00000213337	2	97502348	97523832	40	10	393120	-1.4874	0.93154	ANKRD39
ENSG00000168758	2	97525453	97536494	19	9	346410	-0.34012	0.63312	SEMA4C
ENSG00000168754	2	97541620	97684175	424	36	380541	-0.80773	0.79038	FAM178B
ENSG00000144199	2	97749320	97760619	31	7	227852	0.10855	0.45678	FAHD2B
ENSG00000135976	2	97779233	97930258	347	23	179945	-0.049744	0.51984	ANKRD36
ENSG00000135940	2	98262503	98264846	3	2	392339	-0.10626	0.54231	COX5B
ENSG00000115073	2	98272431	98280570	26	10	380620	0.03862	0.4846	ACTR1B
ENSG00000115085	2	98330023	98356325	90	20	380884	0.35703	0.36053	ZAP70
ENSG00000075568	2	98372799	98612388	685	31	398140	-1.018	0.84566	TMEM131
ENSG00000168658	2	98703579	98929762	778	41	410551	-1.4306	0.92372	VWA3B
ENSG00000222000	2	98947852	98972468	93	19	426360	-0.60604	0.72775	AC092675.3
ENSG00000144191	2	98962618	99015064	241	31	383415	-0.74632	0.77226	CNGA3
ENSG00000040933	2	99061317	99210853	332	30	420704	-0.29725	0.61686	INPP4A
ENSG00000183513	2	99215773	99224978	22	3	444752	0.21745	0.41393	COA5
ENSG00000115446	2	99225042	99234978	26	8	382716	-0.59479	0.72401	UNC50
ENSG00000071073	2	99235569	99347589	343	38	399277	-0.2625	0.60353	MGAT4A
ENSG00000196872	2	99410309	99552722	497	35	405957	-0.040469	0.51614	KIAA1211L
ENSG00000135951	2	99613724	99771427	530	24	397106	-0.36088	0.64091	TSGA10
ENSG00000273045	2	99757948	99767950	32	7	411433	0.24869	0.4018	C2ORF15
ENSG00000241962	2	99757948	99939204	562	34	400920	-0.53369	0.70322	C2orf15
ENSG00000144182	2	99771418	99779620	34	8	431193	-1.1064	0.86573	LIPT1
ENSG00000273155	2	99771461	99811761	130	17	422656	-0.67151	0.74905	MRPL30
ENSG00000158411	2	99777890	99797521	48	8	411069	-1.0138	0.84466	MITD1
ENSG00000185414	2	99797542	99814089	58	13	429703	-0.20285	0.58038	MRPL30
ENSG00000185674	2	99858709	99871745	41	16	331760	0.57991	0.28099	LYG2
ENSG00000144214	2	99900701	99921205	50	11	369199	-0.22765	0.59004	LYG1
ENSG00000115514	2	99935445	99957165	67	15	397930	-0.22324	0.58833	TXNDC9
ENSG00000158417	2	99953816	100017789	187	27	426375	0.051429	0.47949	EIF5B
ENSG00000135945	2	100016938	100106497	257	19	418578	0.26201	0.39666	REV1
ENSG00000144218	2	100162323	100759201	1875	92	394993	0.39399	0.3468	AFF3
ENSG00000170500	2	100889753	100939195	273	21	394949	-0.6448	0.74047	LONRF2
ENSG00000269383	2	100986705	100987007	3	1	405550	-0.42963	0.66627	AC012493.2
ENSG00000115526	2	101008327	101034118	143	24	408527	0.0134	0.49465	CHST10
ENSG00000204640	2	101086944	101099742	72	9	430002	1.0783	0.14044	NMS
ENSG00000115539	2	101179152	101193197	64	12	342372	-0.95402	0.82996	PDCL3
ENSG00000170485	2	101436614	101613291	704	91	404136	-0.502	0.69217	NPAS2
ENSG00000071082	2	101618177	101640494	67	13	409080	1.7121	0.043438	RPL31
ENSG00000204634	2	101624079	101869328	862	59	395433	1.6449	0.049992	TBC1D8
ENSG00000158435	2	101869264	101886778	35	13	388313	-0.53488	0.70363	CNOT11
ENSG00000163162	2	101887681	101925163	78	19	402764	-1.0019	0.84181	RNF149
ENSG00000175874	2	101962013	102004057	152	19	387164	0.058782	0.47656	CREG2
ENSG00000196460	2	102013823	102091165	441	25	382196	-0.078271	0.53119	RFX8
ENSG00000071054	2	102313312	102511149	558	42	401368	-0.055864	0.52227	MAP4K4
ENSG00000233404	2	102508955	102511150	4	2	439100	0.21193	0.41608	FLJ20373
ENSG00000115590	2	102608306	102645006	192	21	400357	-0.68157	0.75224	IL1R2
ENSG00000115594	2	102681004	102796334	526	49	404049	-0.79114	0.78557	IL1R1
ENSG00000115598	2	102803433	102856462	313	24	414440	0.20406	0.41915	IL1RL2
ENSG00000115602	2	102927962	102968497	245	25	380491	1.0442	0.1482	IL1RL1
ENSG00000115604	2	102927989	103015218	461	31	399098	0.97783	0.16408	IL18R1
ENSG00000115607	2	103035149	103069025	176	22	413090	1.3663	0.085922	IL18RAP
ENSG00000180251	2	103089762	103150431	332	24	419866	-0.20484	0.58115	SLC9A4
ENSG00000115616	2	103236166	103327777	293	39	351522	0.38389	0.35053	SLC9A2
ENSG00000135953	2	103332299	103353347	47	10	405605	0.39616	0.346	MFSD9
ENSG00000170417	2	103353367	103460352	270	22	420528	0.15369	0.43893	TMEM182
ENSG00000198914	2	105471969	105476929	9	3	351346	0.95533	0.1697	POU3F3
ENSG00000135972	2	105654441	105716418	277	11	423821	-0.86725	0.8071	MRPS9
ENSG00000135973	2	105858200	105859924	3	2	413094	-1.1033	0.86506	GPR45
ENSG00000268556	2	105867759	105869601	13	5	139486	-0.7323	0.76801	AC012360.1
ENSG00000135966	2	105880871	105946491	240	35	418010	-1.0386	0.85051	TGFBRAP1
ENSG00000135974	2	105953816	105965668	35	11	413232	-1.1349	0.8718	C2orf49
ENSG00000115641	2	105974169	106054970	348	58	389534	1.0746	0.14128	FHL2
ENSG00000071051	2	106361354	106510730	673	43	415884	3.0524	0.001135	NCK2
ENSG00000119147	2	106679702	106694615	96	19	361148	-0.68826	0.75436	C2orf40
ENSG00000115652	2	106709759	106810795	432	41	404850	0.8664	0.19314	UXS1
ENSG00000153165	2	107021446	107084832	101	23	65747	0.65701	0.25559	RGPD3
ENSG00000269000	2	107099728	107103848	16	4	247275	1.5519	0.060341	AC108868.1
ENSG00000144057	2	107418056	107503564	413	34	419989	1.565	0.058787	ST6GAL2
ENSG00000196862	2	108443388	108507297	130	15	126957	-1.2676	0.89754	RGPD4
ENSG00000115665	2	108602979	108630450	95	32	386934	-0.12902	0.55133	SLC5A7
ENSG00000196228	2	108863651	108881807	90	24	411361	0.40025	0.34449	SULT1C3
ENSG00000198203	2	108905095	108926371	102	26	418422	0.6907	0.24488	SULT1C2
ENSG00000198075	2	108994367	109004513	43	10	339676	-0.96375	0.83241	SULT1C4
ENSG00000135968	2	109065017	109125871	322	26	357034	1.3167	0.093971	GCC2
ENSG00000169756	2	109150857	109303702	617	30	337675	1.7569	0.039464	LIMS1
ENSG00000153201	2	109335937	109402267	199	21	305973	-0.8245	0.79517	RANBP2
ENSG00000163006	2	109403213	109501933	318	30	406576	-0.34406	0.6346	CCDC138
ENSG00000135960	2	109510927	109605828	429	36	398957	-1.5235	0.93618	EDAR
ENSG00000172985	2	109745804	110262207	1863	105	397066	-0.35699	0.63945	SH3RF3
ENSG00000186522	2	110300559	110371783	238	33	401050	-0.0015579	0.50062	SEPT10
ENSG00000198142	2	110371911	110376563	11	3	447322	-0.45252	0.67455	SOWAHC
ENSG00000144063	2	110841447	110874143	62	18	420476	-0.28999	0.61409	MALL
ENSG00000144061	2	110879888	110962643	280	22	379767	0.53681	0.2957	NPHP1
ENSG00000257207	2	111160511	111230652	8	5	17477	1.0273	0.15213	LIMS3
ENSG00000183054	2	111271389	111334762	1	1	17477	-1.5548	0.94	RGPD6
ENSG00000169679	2	111395275	111435691	49	11	362851	0.94529	0.17226	BUB1
ENSG00000153093	2	111490150	111875799	1441	90	420701	-0.13131	0.55223	ACOXL
