IPS_E3	IPS_E3	IPS_E3	IPS_E4	IPS_E4	IPS_E4
KDM5B-AS1	29	33	23	13	38	16
LOC641515	0	0	0	0	0	0
LOC148709	37	32	48	38	34	36
RABIF	97	87	90	94	103	80
KLHL12	747	522	557	875	527	602
ADIPOR1	790	747	607	724	872	589
CYB5R1	129	87	114	115	96	123
LOC401980	1	0	0	0	1	1
TMEM183A	43	40	38	38	37	25
TMEM183B	0	0	0	0	0	0
PPFIA4	248	202	85	217	226	90
MYOG	0	0	0	0	0	0
ADORA1	16	9	12	21	20	18
MYBPH	0	0	0	0	0	0
CHI3L1	3	6	5	4	2	4
CHIT1	0	0	0	0	0	0
LOC730227	0	2	0	0	1	0
BTG2	76	74	121	123	115	116
FMOD	1	2	3	1	1	0
PRELP	8	2	2	10	1	4
OPTC	7	10	26	12	10	16
ATP2B4	717	354	576	825	478	706
SNORA77	2	0	0	1	1	1
LINC00260	2	0	0	1	2	0
LAX1	0	0	0	0	0	0
ZC3H11A	805	570	559	739	654	591
ZBED6	253	189	114	206	204	174
SNRPE	720	531	426	760	531	448
LINC00303	0	0	0	0	0	0
SOX13	677	769	581	606	737	549
ETNK2	207	184	184	172	199	172
REN	0	0	1	0	0	3
KISS1	0	0	1	0	0	0
GOLT1A	22	23	16	16	23	12
PLEKHA6	94	123	60	75	109	59
LINC00628	0	1	0	0	1	1
PPP1R15B	853	716	810	854	782	859
PIK3C2B	221	214	159	177	197	138
MDM4	540	401	390	599	389	417
LRRN2	3	4	1	0	4	3
NFASC	53	50	54	53	51	41
CNTN2	12	11	11	9	22	15
TMEM81	19	5	10	16	21	5
RBBP5	301	276	181	321	295	200
DSTYK	342	215	244	320	226	263
TMCC2	128	78	106	116	104	125
NUAK2	211	146	185	205	206	212
KLHDC8A	9	14	14	6	8	10
LEMD1-AS1	0	2	0	0	0	0
LEMD1	3	5	7	8	6	11
MIR135B	0	0	0	0	0	0
CDK18	305	227	262	291	235	249
LOC284578	1	0	0	0	0	0
MFSD4	3	2	0	4	2	2
ELK4	438	286	248	416	287	303
SLC45A3	116	98	102	112	108	129
NUCKS1	12536	8933	8224	12975	10242	8974
RAB7L1	167	112	109	144	127	94
SLC41A1	319	318	260	314	359	228
PM20D1	0	0	1	0	0	0
LOC284581	47	56	36	38	51	23
SLC26A9	0	1	0	0	0	0
FAM72A	40	20	27	34	28	23
AVPR1B	0	1	0	2	1	0
C1orf186	0	0	0	0	0	0
CTSE	0	0	0	0	0	0
SRGAP2C	1	1	3	2	2	2
SRGAP2B	0	0	0	0	0	0
SRGAP2	224	165	153	195	235	181
IKBKE	74	92	60	77	91	56
RASSF5	7	9	3	9	11	11
EIF2D	529	403	425	569	493	404
DYRK3	57	73	35	55	66	49
MAPKAPK2	479	426	439	418	405	457
IL10	0	0	0	0	0	0
IL19	0	0	0	0	0	0
IL20	0	0	0	0	0	0
IL24	0	0	0	0	0	0
FAIM3	0	0	0	1	1	0
PIGR	0	0	0	0	0	0
FCAMR	0	0	0	0	0	0
C1orf116	84	71	42	64	69	27
YOD1	395	325	269	376	325	287
PFKFB2	371	274	250	371	248	281
C4BPB	0	0	0	0	0	0
C4BPA	1	0	0	0	0	0
CD55	242	165	185	244	172	189
CR2	63	48	29	50	51	20
CR1	2	3	2	0	2	0
CR1L	20	20	16	18	11	8
CD46	1066	714	603	1059	818	680
MIR29C	0	0	1	0	0	0
MIR29B2	0	0	0	0	0	0
LOC148696	0	0	0	0	0	0
CD34	5	3	1	3	4	11
PLXNA2	15	11	5	8	7	39
MIR205HG	25	17	26	25	11	21
MIR205	1	2	3	4	3	3
CAMK1G	12	9	11	17	4	10
LAMB3	8	12	10	14	10	13
MIR4260	0	0	0	0	0	0
G0S2	1	1	1	4	2	5
HSD11B1	0	0	0	0	0	0
TRAF3IP3	0	0	0	0	0	0
C1orf74	97	73	72	100	95	87
IRF6	319	248	162	346	308	159
DIEXF	236	220	183	248	198	193
SYT14	187	140	93	148	138	87
SERTAD4-AS1	3	4	0	0	3	4
SERTAD4	11	6	4	3	9	7
HHAT	5	6	3	5	8	18
KCNH1	3	1	2	2	1	2
RCOR3	137	103	135	150	108	145
TRAF5	282	158	179	304	165	195
LINC00467	54	32	38	69	37	48
RD3	0	4	2	2	2	2
SLC30A1	383	76	205	493	86	260
NEK2	518	274	341	595	393	340
LPGAT1	324	204	203	322	259	223
INTS7	291	257	189	324	314	282
DTL	825	719	730	910	758	749
MIR3122	0	0	0	0	0	0
PPP2R5A	757	537	455	706	523	419
SNORA16B	0	0	0	0	0	0
TMEM206	152	146	127	175	160	123
NENF	251	222	183	264	276	186
ATF3	118	96	144	127	105	119
FAM71A	0	1	0	0	0	0
BATF3	6	12	5	11	14	4
NSL1	795	619	642	913	645	589
TATDN3	210	132	170	219	103	131
C1orf227	3	1	0	3	6	0
FLVCR1-AS1	49	60	30	52	40	24
FLVCR1	1163	903	753	1033	822	769
VASH2	1339	1060	653	992	956	509
ANGEL2	484	386	280	540	378	376
RPS6KC1	386	347	231	360	396	255
LINC00538	0	0	0	0	0	0
PROX1	30	30	16	29	21	12
SMYD2	52	63	14	64	56	41
PTPN14	899	709	577	763	696	598
CENPF	5855	3266	2900	4560	3487	3254
KCNK2	1	2	1	1	4	2
KCTD3	1169	1002	621	956	1016	568
USH2A	3	4	2	2	5	2
ESRRG	29	23	13	15	30	11
GPATCH2	158	111	92	141	121	111
SPATA17	7	4	6	11	7	8
LINC00210	0	0	0	0	0	0
RRP15	555	430	402	528	411	390
LOC728463	1	2	0	0	0	0
TGFB2	9	4	4	7	0	37
LOC643723	0	0	0	1	0	1
LYPLAL1	160	106	115	204	120	112
RNU5F-1	0	2	0	0	0	0
SLC30A10	6	1	1	2	1	2
EPRS	3503	2713	2089	3197	2785	2148
BPNT1	194	144	139	145	143	118
IARS2	1900	1460	1118	1904	1688	1299
MIR215	0	0	0	0	0	0
MIR194-1	0	0	0	0	0	0
RAB3GAP2	1114	794	683	1077	843	759
MIR664	0	0	0	0	0	0
SNORA36B	0	0	0	0	0	0
AURKAPS1	6	10	6	9	4	1
MARK1	219	213	162	253	179	179
C1orf115	156	107	151	193	151	152
MARC2	40	34	30	51	37	40
MARC1	363	302	234	322	278	227
HLX	2	1	0	1	1	3
C1orf140	0	0	0	0	0	0
DUSP10	30	21	27	31	33	34
HHIPL2	0	2	0	0	0	0
TAF1A	103	100	59	105	107	92
MIA3	972	670	737	857	652	752
AIDA	86	62	61	110	94	63
BROX	280	181	174	256	200	177
FAM177B	2	0	0	3	0	1
DISP1	104	76	73	96	108	63
TLR5	5	5	3	12	3	6
SUSD4	25	21	27	29	19	20
C1orf65	0	0	0	0	0	0
CAPN8	0	0	0	0	0	0
CAPN2	289	256	252	336	433	674
TP53BP2	635	471	448	586	534	498
FBXO28	832	553	538	751	551	544
DEGS1	470	328	336	469	332	418
NVL	447	310	318	417	317	337
MIR320B2	0	0	0	1	0	0
CNIH4	631	464	461	757	477	500
WDR26	883	586	648	903	627	699
MIR4742	1	0	0	4	0	0
CNIH3	20	31	8	17	26	15
DNAH14	307	188	170	338	243	174
LBR	1248	1187	679	1152	1239	713
ENAH	5131	3344	3021	4383	3355	2920
SRP9	1955	1435	933	2044	1532	927
EPHX1	184	229	159	197	219	151
TMEM63A	49	58	28	58	70	38
LEFTY1	2	2	2	2	1	1
PYCR2	284	368	278	330	437	347
LEFTY2	6	0	1	1	4	3
SDE2	351	278	279	368	288	261
H3F3A	0	0	0	0	0	0
H3F3AP4	0	0	0	0	0	0
ACBD3	561	403	385	540	466	440
MIXL1	1	2	0	0	0	0
LIN9	298	213	177	320	233	190
PARP1	6008	5048	4635	5004	4853	3655
C1orf95	3	1	3	1	4	2
ITPKB	68	48	49	79	46	60
PSEN2	96	118	125	124	103	149
ADCK3	410	333	334	393	314	305
CDC42BPA	505	440	314	447	460	442
ZNF678	894	533	535	904	532	537
ZNF847P	0	0	0	0	0	0
LOC100130093	33	29	37	50	30	47
JMJD4	93	113	144	102	141	179
SNAP47	387	361	366	388	419	349
PRSS38	0	0	0	0	0	0
WNT9A	5	6	8	4	3	8
MIR5008	0	0	0	0	0	0
WNT3A	2	0	1	0	1	0
ARF1	1956	1929	1774	2005	2146	1795
MIR3620	0	0	0	0	0	0
C1orf35	125	140	131	119	147	139
MRPL55	134	175	145	126	179	160
GUK1	489	536	428	568	644	451
GJC2	0	5	4	7	3	1
IBA57	115	111	81	115	104	109
C1orf145	9	2	12	7	6	12
OBSCN	511	409	285	431	425	365
TRIM11	113	174	119	123	134	154
TRIM17	5	6	5	8	12	3
HIST3H3	1	4	0	1	2	1
HIST3H2A	151	329	115	158	324	128
HIST3H2BB	137	258	106	129	287	104
MIR4666A	0	0	0	0	0	0
RNF187	432	510	454	408	502	389
RHOU	195	102	112	200	118	135
DUSP5P1	0	0	0	0	0	1
RAB4A	366	281	212	302	335	208
SPHAR	0	0	0	0	0	0
CCSAP	587	423	277	515	405	218
ACTA1	88	142	49	72	95	31
NUP133	1662	1347	1120	1785	1492	1202
ABCB10	155	133	94	148	137	135
TAF5L	291	237	203	232	249	260
URB2	388	490	417	357	526	425
GALNT2	788	857	593	760	810	679
PGBD5	230	307	203	217	279	144
COG2	407	348	335	332	363	350
AGT	0	0	1	0	1	0
CAPN9	1	0	1	2	4	0
C1orf198	463	526	350	386	528	336
TTC13	86	77	81	91	92	73
ARV1	93	70	75	105	93	62
FAM89A	9	2	3	3	7	2
MIR1182	0	0	0	0	0	0
TRIM67	0	0	0	0	0	0
LOC149373	0	0	0	0	0	0
C1orf131	77	74	73	108	74	72
GNPAT	884	679	484	886	670	470
EXOC8	238	228	209	196	166	186
SPRTN	144	139	120	128	109	128
EGLN1	1305	696	467	1444	856	533
SNRPD2P2	0	0	0	0	0	0
TSNAX-DISC1	0	1	0	0	0	0
TSNAX	403	360	258	423	421	270
LINC00582	0	0	0	0	0	0
DISC1	0	0	0	0	0	0
DISC2	0	0	0	0	0	0
SIPA1L2	263	155	141	184	204	138
MAP10	64	57	48	67	49	41
NTPCR	277	212	256	306	286	252
PCNXL2	634	529	375	619	558	374
KIAA1804	440	481	260	440	471	239
KCNK1	155	120	122	171	148	120
MIR4427	0	0	0	0	0	0
SLC35F3	29	14	11	21	20	12
MIR4671	0	0	0	0	0	0
COA6	225	181	159	259	251	162
TARBP1	312	265	145	371	324	212
LOC100506795	0	0	0	0	0	0
IRF2BP2	690	489	554	693	530	598
LINC00184	0	0	0	0	0	0
LOC100506810	0	0	1	0	1	0
TOMM20	3691	2598	2742	3795	2936	2338
SNORA14B	11	11	10	17	12	4
RBM34	493	385	349	498	436	418
ARID4B	615	324	424	609	394	425
MIR4753	0	0	0	0	0	1
GGPS1	458	319	339	536	408	398
TBCE	276	244	259	311	253	253
B3GALNT2	522	463	327	481	503	375
GNG4	342	483	153	318	361	142
LYST	5	1	2	4	10	14
MIR1537	0	0	0	0	0	0
NID1	369	348	195	497	519	316
GPR137B	68	42	45	85	84	52
ERO1LB	68	41	35	86	51	36
EDARADD	92	54	19	83	50	34
LGALS8	95	98	56	99	98	62
LGALS8-AS1	4	3	4	4	2	0
HEATR1	2079	1718	1187	1901	1690	1313
ACTN2	11	8	4	13	12	6
MTR	754	467	364	653	559	493
MT1P2	1	0	0	0	1	0
RYR2	202	125	116	134	91	72
LOC100130331	1	0	0	1	0	0
ZP4	0	0	0	0	0	0
LOC339535	5	6	12	6	6	4
CHRM3	41	47	35	53	52	46
RPS7P5	0	0	1	0	0	0
FMN2	16	9	9	18	21	6
GREM2	0	1	1	0	0	0
RGS7	37	20	33	28	27	12
MIR3123	0	0	0	0	0	0
FH	814	734	616	803	793	650
KMO	0	0	0	0	0	0
OPN3	192	160	104	241	221	153
CHML	1495	1056	814	1292	916	755
WDR64	0	1	2	1	0	0
EXO1	436	377	335	358	393	339
MAP1LC3C	27	27	21	31	21	7
PLD5	19	19	22	33	25	29
LOC731275	14	7	2	13	7	7
CEP170	845	581	530	707	586	506
SDCCAG8	134	82	79	133	74	80
MIR4677	0	0	0	0	0	0
AKT3	379	259	212	407	305	255
LOC339529	0	0	0	0	0	0
ZBTB18	336	256	221	332	258	249
C1orf100	0	1	0	0	0	0
ADSS	1307	969	756	1156	875	705
C1orf101	3	0	2	0	1	1
DESI2	2645	1783	1977	3084	2296	2496
COX20	278	190	168	276	243	138
HNRNPU-AS1	235	95	102	193	118	117
HNRNPU	7532	6577	4750	7037	6967	4907
EFCAB2	73	63	49	62	50	56
KIF26B	6	5	4	0	3	7
SMYD3	187	146	156	179	161	148
LOC255654	0	0	1	0	0	0
TFB2M	130	133	118	158	132	95
CNST	365	320	241	355	334	295
SCCPDH	429	321	319	525	414	320
LOC149134	2	1	2	0	4	4
AHCTF1	608	559	422	563	604	423
ZNF695	138	97	86	144	94	108
ZNF670-ZNF695	1	1	0	1	0	2
ZNF670	297	252	187	382	230	204
ZNF669	161	142	129	140	150	129
C1orf229	2	2	3	1	7	1
ZNF124	338	261	203	388	263	186
MIR3916	5	6	8	10	6	11
VN1R5	0	0	0	0	0	0
ZNF496	459	418	495	437	455	393
NLRP3	1	1	5	1	1	4
OR2B11	0	0	0	0	0	0
OR2W5	0	0	0	0	0	0
GCSAML-AS1	0	0	0	0	0	0
OR2C3	0	0	0	0	0	0
GCSAML	0	0	0	0	0	0
OR2G2	0	0	0	0	0	0
OR2G3	0	0	0	0	0	0
OR13G1	0	0	0	0	0	0
OR6F1	0	0	0	0	0	0
OR1C1	0	0	0	0	0	0
OR14A16	3	0	2	1	1	0
OR11L1	0	0	0	0	0	0
TRIM58	6	13	2	7	7	5
OR2W3	1	1	1	3	2	1
OR2T8	0	0	0	0	0	0
OR2L13	1	0	0	0	0	0
OR2L8	0	0	0	0	0	0
OR2AK2	0	0	0	0	0	0
OR2L1P	0	0	1	0	2	2
OR2L5	0	0	0	0	0	0
OR2L2	0	0	0	0	0	0
OR2L3	0	0	0	0	0	0
OR2M1P	0	0	0	0	0	0
OR2M5	0	0	0	0	0	0
OR2M2	0	0	0	0	0	0
OR2M3	0	0	0	0	0	0
OR2M4	0	0	0	0	0	0
OR2T33	0	0	0	0	0	0
OR2T12	0	0	0	0	0	0
OR2M7	0	0	0	0	0	0
OR14C36	0	0	0	0	0	0
OR2T4	0	0	0	0	0	0
OR2T6	0	0	0	0	0	0
OR2T1	0	0	0	0	0	0
OR2T2	0	0	0	0	0	0
OR2T3	0	0	0	0	0	0
OR2T5	0	0	0	0	0	0
OR2G6	0	0	0	0	0	0
OR2T29	0	0	0	0	0	0
OR2T34	0	0	0	0	0	0
OR2T10	0	0	0	0	0	0
OR2T11	0	0	0	0	0	0
OR2T35	0	0	0	0	0	0
OR2T27	0	0	0	0	0	0
OR14I1	0	0	0	0	0	0
LYPD8	0	0	0	0	0	0
SH3BP5L	337	357	331	353	394	403
MIR3124	0	0	0	0	0	0
ZNF672	145	248	208	186	335	251
ZNF692	171	154	140	185	173	119
PGBD2	45	35	44	54	36	52
TUBB8	5	6	3	4	6	2
ZMYND11	434	277	331	421	316	389
DIP2C	183	120	146	188	143	177
MIR5699	0	0	0	0	0	0
PRR26	0	0	0	0	0	0
LARP4B	681	552	524	630	608	512
GTPBP4	1112	913	890	1061	1047	812
IDI2	0	0	0	0	0	0
IDI2-AS1	1	2	7	8	3	6
IDI1	751	1111	312	679	1109	358
WDR37	118	117	129	122	113	112
LINC00200	0	0	0	0	0	0
ADARB2	13	14	16	20	8	14
ADARB2-AS1	0	0	0	3	0	0
LINC00700	0	0	0	0	0	0
LINC00701	0	0	0	0	0	0
PFKP	1940	1773	1364	1861	1983	1383
PITRM1	487	419	340	469	461	452
PITRM1-AS1	1	2	2	2	0	0
KLF6	297	169	166	281	192	155
LINC00704	0	0	0	0	0	3
LINC00705	0	0	0	0	0	0
AKR1E2	20	11	9	21	24	12
AKR1C6P	0	0	0	0	0	0
AKR1C1	6	1	5	4	6	10
AKR1C2	2	0	0	1	1	3
AKR1C3	11	21	5	7	16	7
AKR1CL1	0	0	0	0	0	0
AKR1C4	0	0	0	0	0	0
UCN3	0	0	0	0	0	0
TUBAL3	0	1	0	0	0	0
NET1	1221	1104	661	1203	1223	676
CALML5	0	1	0	0	0	0
CALML3	0	0	0	0	0	1
ASB13	146	160	148	181	187	155
FAM208B	1090	785	710	970	913	846
GDI2	6429	4902	4131	6821	5593	4009
ANKRD16	71	55	79	69	52	84
FBXO18	510	449	395	482	510	440
IL15RA	1	4	1	0	4	2
IL2RA	0	0	0	0	0	0
RBM17	636	540	423	567	549	444
PFKFB3	889	976	250	1052	1125	341
MIR3155A	0	0	0	0	0	0
MIR3155B	0	0	0	0	0	0
LOC399715	9	1	3	16	5	3
PRKCQ	285	253	155	209	205	97
PRKCQ-AS1	144	149	65	94	90	42
LINC00707	104	101	65	72	69	32
SFMBT2	174	162	86	151	117	62
ITIH5	12	18	5	11	7	2
ITIH2	0	0	0	0	0	0
KIN	186	118	130	178	122	129
ATP5C1	1640	1450	1113	1843	1510	1169
TAF3	90	63	47	75	91	63
GATA3-AS1	0	0	0	0	0	0
GATA3	0	0	1	0	0	0
SFTA1P	0	0	0	2	4	20
LINC00710	0	0	0	0	0	0
CELF2	394	243	256	410	288	250
CELF2-AS2	0	0	0	0	0	0
USP6NL	535	411	363	451	417	370
ECHDC3	222	200	214	204	186	137
PROSER2	36	42	50	50	55	68
PROSER2-AS1	3	4	0	2	0	0
UPF2	598	416	410	538	407	416
DHTKD1	1047	767	919	1160	776	846
SEC61A2	125	112	77	130	157	99
NUDT5	687	660	506	725	747	537
CDC123	1400	1357	961	1308	1479	919
CAMK1D	82	51	39	61	50	33
MIR4480	0	0	0	0	0	0
LOC283070	62	28	29	43	30	33
CCDC3	21	25	14	13	14	6
OPTN	430	252	293	492	353	358
MCM10	551	540	455	546	535	458
UCMA	44	41	20	36	23	10
PHYH	438	252	252	496	345	301
SEPHS1	4108	5577	1808	3367	5639	1837
BEND7	35	23	19	33	35	29
PRPF18	123	98	84	120	134	91
FRMD4A	154	192	122	155	214	178
MIR1265	0	0	0	0	0	0
FAM107B	258	230	159	223	196	154
CDNF	3	1	6	6	0	7
HSPA14	327	262	226	323	298	204
SUV39H2	454	348	324	453	392	336
DCLRE1C	56	53	36	61	47	50
MEIG1	0	0	1	1	0	0
OLAH	0	0	0	0	0	0
ACBD7	414	270	295	421	284	286
C10orf111	4	1	1	2	1	2
RPP38	171	157	157	154	186	178
NMT2	158	122	105	147	128	119
PPIAP30	0	0	0	0	0	0
FAM171A1	363	366	290	375	398	344
ITGA8	1	0	0	0	0	1
FAM188A	172	114	111	221	117	131
PTER	163	102	99	174	126	120
C1QL3	70	43	30	87	44	38
RSU1	446	419	283	447	436	340
CUBN	6	3	6	5	4	1
TRDMT1	280	163	165	249	160	151
VIM	1992	1719	1211	2154	2161	3720
ST8SIA6	14	10	12	9	9	2
ST8SIA6-AS1	0	1	0	0	2	0
PTPLA	96	71	52	87	82	56
STAM	514	442	315	489	408	379
TMEM236	0	0	0	0	0	0
MRC1	0	0	0	0	0	0
MIR511-2	0	0	0	0	0	0
MIR511-1	0	0	0	0	0	0
SLC39A12	0	0	0	0	0	0
LOC100129213	0	0	0	0	0	0
CACNB2	25	11	18	13	19	13
NSUN6	123	131	87	120	137	82
ARL5B	1213	772	711	1273	813	691
PLXDC2	450	372	312	405	432	293
MIR4675	0	0	0	0	0	0
NEBL	842	331	641	931	351	611
C10orf113	0	0	0	0	0	0
NEBL-AS1	0	0	0	1	1	0
C10orf114	293	183	205	299	223	214
MIR1915	2	1	2	0	0	3
SKIDA1	238	124	136	207	117	129
MLLT10	844	540	613	764	652	564
DNAJC1	230	182	131	194	173	124
EBLN1	0	0	0	0	0	0
LOC100130992	6	6	4	6	9	2
COMMD3-BMI1	0	0	0	0	0	0
COMMD3	24	8	10	13	17	10
BMI1	4	3	4	4	3	3
SPAG6	3	1	1	0	3	1
LOC100499489	1	1	0	2	1	2
PIP4K2A	629	493	375	514	490	359
ARMC3	3	0	4	2	1	1
MSRB2	109	61	102	121	96	86
PTF1A	0	0	0	0	0	0
C10orf67	1	1	0	0	1	0
OTUD1	141	98	97	125	86	77
KIAA1217	171	189	160	209	219	190
MIR603	0	0	0	0	0	0
ARHGAP21	486	286	276	403	359	286
PRTFDC1	69	76	30	63	68	29
ENKUR	2	1	0	1	4	1
THNSL1	203	86	102	243	148	117
GPR158-AS1	0	1	0	0	0	0
GPR158	5	12	1	11	9	5
MYO3A	94	60	43	110	74	45
GAD2	1	0	0	0	0	2
APBB1IP	0	1	0	0	0	0
LINC00264	0	0	0	0	0	0
LINC00202-2	0	1	0	0	0	0
PDSS1	80	66	48	64	88	50
ABI1	629	551	429	674	480	424
LINC00202-1	1	1	0	0	0	1
ANKRD26	180	101	99	216	139	154
YME1L1	2101	1509	1285	2053	1616	1373
MASTL	881	770	623	899	781	597
ACBD5	578	426	262	576	455	225
LRRC37A6P	26	16	13	21	8	11
PTCHD3	0	0	0	0	0	0
RAB18	702	496	503	817	498	529
MKX	6	5	1	6	4	1
ARMC4	62	45	26	60	70	38
MPP7	206	149	116	215	164	118
WAC-AS1	161	140	114	181	120	124
WAC	1701	1203	1227	1557	1349	1309
MIR5586	0	0	0	0	0	0
BAMBI	112	164	80	85	102	89
LINC00837	0	0	0	0	0	0
LYZL1	0	0	0	0	0	0
PTCHD3P1	4	6	4	0	1	2
SVIL	288	308	227	251	327	242
MIR604	0	0	0	0	0	0
MIR938	0	0	0	0	0	0
KIAA1462	34	27	46	33	30	67
MTPAP	569	398	448	592	478	451
MAP3K8	136	71	79	151	118	69
LYZL2	0	0	0	0	0	0
ZNF438	20	16	18	21	24	24
ZEB1-AS1	44	15	20	48	33	25
ZEB1	2	1	3	2	6	33
ARHGAP12	1175	821	695	1128	902	678
KIF5B	2441	1543	1670	2351	1650	1789
EPC1	280	187	187	275	218	194
CCDC7	9	1	7	7	6	5
C10orf68	1	1	3	4	1	1
ITGB1	2495	2151	1228	2058	2135	1656
NRP1	98	96	50	70	77	199
LINC00838	2	0	0	1	0	0
PARD3	1237	1033	782	1072	1136	798
CUL2	556	477	403	565	547	388
CREM	144	162	105	157	168	126
CCNY	688	615	515	686	674	538
GJD4	0	0	0	0	0	0
FZD8	134	128	139	137	130	157
MIR4683	0	0	0	0	0	0
ANKRD30A	0	0	0	0	0	0
MTRNR2L7	0	0	0	0	0	0
ZNF248	1	0	0	0	0	0
ZNF33BP1	0	0	0	0	0	0
ZNF25	17	4	7	19	14	10
ZNF33A	743	388	367	731	479	411
ZNF37A	66	49	43	63	57	50
LOC100129055	0	0	0	0	0	0
HSD17B7P2	0	0	0	0	0	0
SEPT7L	0	0	0	1	0	0
LOC399744	1	3	4	5	6	4
ACTR3BP5	0	0	0	0	0	0
LOC441666	433	342	273	515	422	327
LINC00839	0	0	0	0	0	0
ZNF37BP	98	46	61	76	70	78
ZNF33B	572	279	306	625	314	360
BMS1	1181	896	815	1033	1037	860
MIR5100	0	0	0	0	0	0
RET	138	105	156	159	105	143
CSGALNACT2	75	56	42	81	60	71
RASGEF1A	304	232	282	334	196	254
FXYD4	1	0	0	0	0	0
HNRNPF	3535	3392	2625	3332	3600	2702
ZNF487P	5	5	3	7	11	4
ZNF239	82	80	50	117	70	77
ZNF485	75	60	39	66	54	47
ZNF32-AS3	0	0	0	1	0	2
ZNF32	204	150	125	276	167	125
ZNF32-AS1	0	0	0	0	0	0
ZNF32-AS2	2	0	1	2	2	1
HNRNPA3P1	2	0	0	0	0	1
LINC00619	0	0	0	0	0	0
LINC00840	0	0	0	0	0	0
LINC00841	0	0	0	0	0	0
LOC100130539	0	2	0	0	1	0
CXCL12	702	442	459	621	420	340
TMEM72-AS1	0	0	1	0	0	0
TMEM72	1	0	0	2	0	0
RASSF4	179	92	174	179	109	138
C10orf10	83	35	77	114	27	73
C10orf25	24	18	16	24	9	14
ZNF22	838	482	503	886	476	525
RSU1P2	0	0	0	0	0	0
ANKRD30BP3	0	0	0	0	0	1
MIR3156-1	0	0	0	0	0	0
OR13A1	2	2	5	2	2	1
ALOX5	25	15	30	17	22	19
MARCH8	159	112	137	141	113	113
ZFAND4	174	106	103	154	121	122
FAM21C	133	77	91	119	104	100
AGAP4	0	0	1	0	0	0
PTPN20B	0	0	0	0	0	0
PTPN20A	0	0	0	0	0	0
BMS1P1	0	0	0	0	0	0
BMS1P5	0	0	0	0	0	0
GLUD1P7	0	0	0	0	0	0
FAM35BP	0	0	0	1	0	0
SYT15	4	2	0	8	0	1
GPRIN2	112	96	106	99	120	117
PPYR1	0	1	0	0	0	0
LINC00842	0	0	1	0	1	0
HNRNPA1P33	0	0	0	0	0	0
ANXA8	0	0	0	0	0	0
ANXA8L1	0	0	0	0	0	0
FAM25G	0	0	0	0	0	0
FAM25B	0	0	0	0	0	0
FAM25C	0	0	0	0	0	0
AGAP9	0	0	0	0	0	0
BMS1P2	0	0	0	0	0	0
BMS1P6	0	0	0	0	0	0
FAM35DP	0	1	0	0	0	0
ANXA8L2	0	0	0	0	0	0
FAM21B	17	18	12	27	23	15
CTSL1P2	3	0	0	1	1	0
ZNF488	56	66	37	40	58	29
RBP3	0	0	0	0	0	0
GDF2	0	0	0	0	0	0
GDF10	1	0	0	0	1	0
FRMPD2P1	0	0	0	0	0	0
LOC399753	0	0	0	0	0	0
FRMPD2	5	0	6	5	9	12
MAPK8	316	283	240	324	289	251
ARHGAP22	54	46	55	42	76	47
WDFY4	0	0	0	0	0	0
LRRC18	0	0	0	0	0	0
MIR4294	0	0	0	0	0	0
VSTM4	6	5	10	16	11	20
FAM170B-AS1	0	0	0	0	0	0
FAM170B	0	0	0	0	0	0
C10orf128	0	0	0	0	0	0
C10orf71	0	0	0	0	0	0
DRGX	0	0	0	0	0	0
ERCC6	132	95	81	151	123	111
PGBD3	20	16	16	20	15	22
CHAT	0	0	0	0	0	0
SLC18A3	0	0	0	0	0	0
C10orf53	0	0	1	0	0	0
OGDHL	292	313	335	348	351	383
PARG	393	248	295	349	295	259
AGAP8	2	1	1	2	3	1
LOC728407	11	4	7	19	6	11
AGAP7	0	0	0	0	0	0
MSMB	0	0	0	0	0	0
NCOA4	1876	1532	1306	1982	1612	1371
TIMM23	468	480	400	477	481	417
AGAP6	10	13	13	9	5	12
FLJ31813	2	1	0	1	1	0
FAM21A	6	8	6	10	7	7
ASAH2	1	1	1	2	2	0
SGMS1	417	208	240	341	237	186
ASAH2B	2	1	2	0	1	2
A1CF	0	0	0	0	0	0
PRKG1	496	188	356	469	262	308
MIR605	0	0	0	0	0	0
CSTF2T	595	501	522	531	563	520
PRKG1-AS1	0	0	0	0	0	0
DKK1	1	0	0	3	2	9
MBL2	0	0	0	0	0	0
PCDH15	3	2	3	1	3	2
MTRNR2L5	0	0	0	0	0	0
ZWINT	459	448	367	516	489	421
MIR3924	0	0	0	0	0	0
IPMK	253	192	146	253	188	146
CISD1	292	226	164	274	226	193
UBE2D1	448	288	273	431	357	274
TFAM	1217	1001	727	1211	988	777
BICC1	12	12	3	6	12	10
FAM133CP	0	0	1	2	0	1
PHYHIPL	2	1	0	0	2	2
FAM13C	10	5	1	10	3	5
SLC16A9	423	208	289	501	233	299
M1	0	0	0	0	0	0
CCDC6	959	616	639	743	644	678
C10orf40	0	0	0	0	0	0
ANK3	681	458	536	682	473	527
CDK1	1852	1075	1152	2046	1359	1146
RHOBTB1	160	119	110	153	126	119
TMEM26	11	31	2	7	23	5
C10orf107	0	0	1	0	0	0
ARID5B	5	12	5	7	4	29
MIR548AV	0	0	0	0	0	0
RTKN2	416	286	194	341	369	230
ZNF365	1	0	2	2	1	6
ADO	604	490	501	547	505	460
EGR2	17	15	12	23	16	16
NRBF2	212	164	176	267	151	181
JMJD1C	3407	2687	1899	2604	2446	1658
